Date,Price
07-Feb-20,54.53
10-Feb-20,53.39
11-Feb-20,54
12-Feb-20,55.54
13-Feb-20,56.34
14-Feb-20,57.37
17-Feb-20,57.83
18-Feb-20,57.35
19-Feb-20,59.72
20-Feb-20,59.72
21-Feb-20,58.6
24-Feb-20,56.04
25-Feb-20,56.71
26-Feb-20,54.96
27-Feb-20,52.19
28-Feb-20,51.31
02-Mar-20,52.52
03-Mar-20,52.24
04-Mar-20,51.86
05-Mar-20,51.29
06-Mar-20,45.6
09-Mar-20,35.33
10-Mar-20,36.66
11-Mar-20,34.45
12-Mar-20,31.05
13-Mar-20,33
16-Mar-20,28.04
17-Mar-20,28.04
18-Mar-20,26.93
19-Mar-20,23.3
20-Mar-20,25.4
23-Mar-20,25.06
24-Mar-20,23.75
25-Mar-20,25.62
26-Mar-20,23.55
27-Mar-20,22.39
30-Mar-20,19.07
31-Mar-20,19.19
01-Apr-20,14.97
02-Apr-20,20.24
03-Apr-20,24.33
06-Apr-20,22.58
07-Apr-20,22.1
08-Apr-20,25.22
09-Apr-20,20.23
14-Apr-20,21.74
15-Apr-20,19.8
16-Apr-20,18.69
17-Apr-20,19.75
20-Apr-20,17.36
21-Apr-20,9.12
